|-----------------------------------------------------------------------|
|Bill Of Materials for videoMux.sch on Tue Nov 27 16:26:55 2012         |
|-----------------------------------------------------------------------|
|Item|Qty |Reference|Part Name     |Description                  |Value |
|51  |9   |R11-15   |RES-0603,75,1%|Resistor                     |75    |
|    |    |R19 R23  |              |                             |      |
|    |    |R25 R27  |              |                             |      |
|52  |6   |R20-21   |RES-0603,???  |Resistor                     |???   |
|    |    |R34-35   |              |                             |      |
|    |    |R100 R102|              |                             |      |
|53  |26  |R1-10    |RES-0603,OPT-0|Resistor                     |OPT-0 |
|    |    |R16-17   |              |                             |      |
|    |    |R24      |              |                             |      |
|    |    |R29-33   |              |                             |      |
|    |    |R36-37   |              |                             |      |
|    |    |R39-40   |              |                             |      |
|    |    |R45-47   |              |                             |      |
|    |    |R108     |              |                             |      |
|54  |1   |R44      |RES-0603,     |Resistor                     |OPT-10|
|    |    |         |OPT-100       |                             |0     |
|55  |1   |U35      |SN65HVD35     |RS-485 Transceiver           |      |
|56  |1   |SW1      |SW_SKHHAMA010 |Tactile Push-button          |      |
|57  |2   |U8 U12   |THS4011CD     |High Frequency OP-AMP        |      |
|58  |1   |U11      |TLC548CD      |Single Channel ADC           |      |
|59  |6   |TPNT1-6  |TPNT          |Test point with via          |      |
|-----------------------------------------------------------------------|
